No, General Knowledge ,GK 1,GK 2,GK 3,Geography,GEO 1,GEO 2,GRO 3,Science,SCI 1,SCI 2,SCI 3,History,HIS 1,HIS 2,HIS 3,Maths,MATH 1,MATH 2,MATH 3,English,EN 1,EN 2,EN 3
147,Which animal is the tallest on earth?,Rhinoceros,Elephant,[Giraffe],What is the largest country in South America? ,[Brazil],Peru,Mexico,White blood cells protect us against disease. True or False?,[TRUE],X,X,Who walked on the surface of the moon with Neil Armstrong in July 1969?,John Glenn,[Buzz Aldrin],Gus Grissom,Paul's grandad gave him €20 to share equally with his 4 brothers  how much did they each get?,[€5],€3,€10,What is the plural of foot?,[Feet],Feats,Leg
148,Which two parts of the body continue to grow for your entire life?,Fingers & Toes,Ears & Toes,[Nose & Ears],What countries are in the Iberian Peninsula? ,[Spain and Portugal],France & Italy,France & Spain,What is the boiling point of water in Celsius?,[100°C],75°C,50°C,Which era occurred first:  Iron Age  Stone Age or Bronze Age?,Bronze Age,[Stone Age],Iron Age,11 divided by 11 =,[1],12,2,Find the adjective in:   The shops was busy with customers.,[Busy],X,X
149,Which ocean is the largest in the world?,Arctic Ocean,Atlantic Ocean,[Pacific Ocean],Into what sea does the River Jordan flow? ,[The Dead Sea],North Sea,Baltic Sea,Is a frog a reptile or an amphibian?,[Amphibian],Reptile,X,In what year was the first tractor built?,1741,[1892],1902,1000 divided by 2 =,[500],250,100,What is the plural of goose?,[Geese],Gosling,Gannet
150,How many years are there in a century?,1000,10,[100],What is the centre of a hurricane called? ,[The eye],The Storm,The Tidal,What do you apply when you push something?,[Force],Mass,Compression,What is the name of the country residence of the British Prime Minister?,Balmoral Castle,[Chequers],Edinburgh Castle,72 divided by 9 =,[8],9,11,"Which word means: ""Confident"" ",[Certain],Anxious,Hopeful
151,Which animal is the largest in the world?,Rhinoceros,Elephant,[Blue Whale],What does a barometer measure? ,[Air pressure],Wind Speed,Air Temperature,Where does our food collect after we chew and swallow it?,[Stomach],Small intestine,Throat,What date is Independence Day?,May 12th,[July 4th],June 6th,66 divided by 6 =,[11],15,16,"Which word means: ""Impressive""",[Amazing],Scary,Fearful
152,Which language is the most spoken in the world?,English,Spanish,[Mandarin],What do you call a small river that joins up with a large river? ,[A Tributary],Source,Meander,Which is a bat's strongest sense?,[Hearing],Touch,Sight,Which statue that wears a crown with 7 spikes is located in New York ?,The Empire State Building,[The Statue of Liberty],The Rockefeller Centre,18 divided by 3 =,[6],9,3,"Which word means: ""Dangerous""",[Alarming],Careful,Fruitful
153,What is the name of the smallest ocean in the world?,Indian Ocean,Atlantic Ocean,[Arctic Ocean],In which country is the Algarve? ,[Portugal],Italy,Austria,Where is your coccyx bone?,[Lower Back],Hand,Shoulder,Who became Prime Minister of the United Kingdom in 2010?,Tony Blair,[David Cameron],Boris Johnson,90 divided by 2 =,[45],50,30,"Which word means: ""Nervous""",[Afraid],Happy,Hurtful
154,Who invented the computer?,Steve Jobs,Sir Alan Sugar,[Charles Babbage],Name the largest of the four provinces in Ireland? ,[Munster],Ulster,Leinster,The layers of gases Earth is surrounded by are collectively called what?,[Atmosphere],Ozone layer,Hydrosphere,Blackbeard was a famous: President  King or Pirate?,President,[Pirate],King,99 divided by 3 =,[33],39,45,"Which word means: ""Playful""",[Cheerful],Dull,Quiet
155,What colour symbolises peace?,Red,Green,[White],Off which county’s coast are the Blasket Islands? ,[Kerry],Donegal,Galway,Which is the strongest sense in a dog?,[Smell],Touch,Hearing,Which Roman numeral represents the number 5?,X,[V],VI,42 divided by 7 =,[6],8,10,"Which word means: ""Energetic""",[Active],Passive,Sleepy
156,How many people are there in the world approximately?,2 Billion,4 Billion,[Over 7 Billion],In which city is Red Square? ,[Moscow],Berlin,Paris,When we get a cut  what stops the bleeding?,Red Blood Cells,[Platelets],White Blood Cells,Which ancient people built Colosseums,The Greeks,[The Romans],The Egyptians,63 divided by 9 =,11,[7],8,"Which word means: ""Annoying""",[Irritating],Helpful,Practical
157,How many strings does a violin have?,2,6,[4],What is the highest mountain in Britain? ,[Ben Nevis],Snowdonia,Slieve Donard,What is a rabbit's strongest sense?,Smell,[Hearing],Sight,Who was the 44th American President?,[Barack Obama],George Bush,Donald Trump,150 divided by 2 =,80,[75],100,"Which word means: ""Helpful""",[Cooperative],Annoying,Lazy
158,How many cards are there in a full deck of cards?,40,26,[52],In what English county is Land’s End? ,[Cornwall],Kent,Dorset,What is yeast a type of?,Plant,[Fungus],Fruit,Who were the first people to live in North America?,[Native Americans],Spanish,Dutch,200 divided by 10 =,10,[20],8,"Which word means: ""Funny""",[Amusing],Angry,Scary
159,Which country is home to the kangaroo?,America,[Australia],Brazil,What is the highest mountain in the Alps? ,Mount Everest,[Mount Blanc],Mount Etna,Which is an Owls strongest sense?,Touch,[Hearing],Smell,Who was prime minister of the UK for most of the World War II?,[Winston Churchill] ,Harold Wilson,Ramsay McDonald,440 divided by 10 =,24,[44],30,"Which word means: ""Eventful""",[Memorable],Stressful,Forgetful
160,"""Stars and Stripes"" is the nickname of the flag of which country?",France,[United States of America],Canada,How many other counties does County Tipperary border?,4,[8],6,What would happen to the water in an ocean on a hot day?,It would condense,[It would evaporate],It would expand,Name the dwellings built by the Native Americans woodland tribes.,[Wigwams],Lodges,Dens,280 divided by 70 =,28,[4],14,"Which word means: ""Thoughtful""",[Considerate],Unhelpful,Angry
161,What are Cavan's county colours?,Green & White,[Blue & White],Black & White,In Connacht  which county does not have a coastline?,Sligo,[Roscommon],Leitrim,Water droplets can form ___________ in the sky.,Lighting,[Clouds],Thunder,Who was caught red-handed trying to blow up parliament in 1605?,[Guy Fawkes],Robin Hood,William Wallace,480 divided by 40 =,24,[12],8,"Which word means: ""Eager""",[Keen],Noisy,Slowly
162,What does the Internet prefix WWW stand for?,World Wide Wave,[World Wide Web],World Wide Weave,How many counties touch the River Shannon?,9,[11],5,When water vapor ___________  it changes from a gas to a liquid,Evaporate,[Condenses],Gathers,What did Romans use a hypocaust for?,[Heating their villas],Making Food,Milking Cows,390 divided by 13 =,20,[30],45,"Which word means: ""Summit""",[Peak],Average,Bottom
163,Where does the President of the United States of America live?,10 Downing Street,[The White House],The Empire State Building,What is the name of the largest park in Dublin?,Malahide Park,[The Phoenix Park],Marlay Park,The _________ tells us how hot or cold something is.,Mass,[Temperature],Velocity,What is the name of the country residents of the America President?,[Camp David],Chequers,Westminster Abbey,78 divided by 2 =,44,[39],19,"Which word means: ""Timetable""",[Itinerary],Event,Research
164,What is the largest brass instrument in an orchestra?,Trombone,[Tuba],Trumpet,Which range of mountains separates France from Spain?,Alps,[Pyrenees],Mont Blanc,Which is not an example of surface water?,A Puddle,[Sand Dune],A Lake,Name the structure that Native Americans generally built as a home?,[Tepee],Craftsman,Colonial,8 divided by 4 =,8,[2],1,"Which word means: ""Accumulation""",[Stockpile],Dwindle,Purchase
165,From which country does parmesan cheese come?,France,[Italy],Ireland,What river runs under Dublin Castle? ,Dargle,[Poddle],Liffey,The __________ warms the water on Earth’s surface,Clouds,[Sun],Wind,What did Spain send to attack Britain in 1588?,[The Spanish Armada],Spanish Cavalry,Spanish Soldiers,333 divided by 3 =,30,[111],99,"Which word means: ""Lengthen""",[Extend],Finish,Complete
166,How many holes are there in a standard ten pin bowling ball?,4,[3],5,What is the start of a river called beginning with the letter ‘S’?,Stream,[Source],Sprinkle,How many bones are in your hand?,15,[27],5,Name the structure Native American tribes built to show family history & spirit?,[Totem Pole],Vault Pole,Wigwam,16 divided by 4 =,6,[4],8,"Which word means: ""Pause""",Reactivate,[Suspend],Accelerate
167,What is the most popular sport in the world?,Cricket,[Soccer],Rugby,What is the largest county in Ulster?,Derry,[Donegal],Antrim,When water in lakes and rivers is warmed by the ____________  it evaporates.,Clouds,[Sun],Wind,Which city did the ancient Greeks by legend besiege for 10 years?,[Troy],Rome,Istanbul,4 multiplied by 5 =,16,[20],24,"Which word means: ""Advance""",Halt,[Progress],Stall
168,To which famous girl band did Cheryl Cole belong?,Spice Girls,[Girls Aloud],Little Mix,What tree produces acorns?,Ash Tree,[Oak Tree],Chestnut Tree,Are fish a natural resource?,No,[Yes],X,Where did the Native Americans originate from?,[Asia],Europe,Africa,If Barry reads 2 pages a night how many nights will it take him to read a 100 page book?,45,[50],65,"Which word means: ""Surpass""",Shortfall,[Exceed],Target
169,What colour do you get if you mix blue and yellow paint together?,Orange,[Green],Red,Antarctica covers which of the earth’s poles?,North,[South],X,The measure of heat in the air in a given place is called _______.,Atmosphere,[Temperature],Humidity,Which people travelled in long ships and raided Britain from Scandinavia?,[Vikings],Romans,Russians,If a chocolate bar cost 10 cent how many bars would you get for 60 cent?,9,[6],10,"Which word means: ""Confirmed""",Forgotten,[Accepted],Forgetful
170,In which American city is the Statue of Liberty located?,Boston,[New York],Washington,In what county does the river Shannon rise?,Limerick,[Cavan],Galway,What are the day-to-day conditions of a particular place called ?,Season,[Weather],Months,Which King received an arrow in his eye at the Battle of Hastings?,Edward VII,[Harold II],George V,If Rory buys 2 ice creams for 45 cent each how much change will he have from €1,20 cent,[10 cent],15 cent,"Which word means: ""Essential""",Maybe,[Crucial],Truly
171,How many leaves does a shamrock have?,4,[3],5,What happens when the earth's plates collide with each other?,A Tornado,[An  Earthquake],A Hurricane,Is gas a natural resource? Yes or No.,No,[Yes],X,What is the revival of European Art and Literature in the 14th -16th centuries is known as?,Industrialisation,[Renaissance],Capitalism,452 + 321 =,521,[773],691,"What word defines: ""Keep away from something or someone""?",Meet,[Avoid],Greet
172,How do you say hello in French?,Qui,[Bonjour],Non,In which state in America is the Everglades national park? ,Georgia,[Florida],Nevada,What instrument is used to measure rainfall in a particular place over time.,Rain Vane,[Rain Gauge],Rain Balloon,What notable event affected London in September 1666?,Bubonic Plague,[The Great Fire],Bombing Raids,268 + 147 = ,405,[415],425,"What word defines: ""A person who works in a bank""?",Labourer,[Banker],Gardener
173,Global warming is caused by too much of which type of gas?,Hydrogen,[Carbon dioxide],Helium,Manila is the chief port and capital of which country? ,Mexico,[The Philippines],Turkey,What device is used to measure the direction of the wind,Wind Kite,[Wind Vane],Wind Umbrella,Who painted the Mona Lisa?,Michelangelo,[Leonardo da Vinci],Caravaggio,159 + 128 =,267,[287],307,"What word defines: ""An amount paid""?",Loan,[Payment],Voucher
174,What did Cinderella leave behind at the ball?,A Coat,[A Glass Slipper],A Handbag,What do you call a spring that gushes hot water and steam into the air? ,Source,[A Geyser],A Plume,Which of the following is matter?,Sound,[Football],Light,Who painted the Sistine Chapel lying on his back?,Raphael,[Michelangelo],Donatello,125 +114 =,289,[239],309,"What word defines: ""A person who rides horses""?",Pilot,[Jockey],Operator
175,In what city in China was the coronavirus first identified?,Shanghai,[Wuhan],Shenzhen,Which is colder  the North Pole or the South Pole? ,[South Pole],X,X,What are all things around us made up of?,Force,[Matter],Speed,What organisation did Daniel O'Connell set up in 1823?,GAA,[Catholic Association],Sinn Fein,459 + 321 =,670,[780],720,"What word defines: ""A person who fishes for profit or pleasure""?",Bright,[Fisherman],Surfer
176,Who has a nose that grows longer every time he tells a lie?,Mickey Mouse,[Pinocchio],Donald Duck,How high is Mount Everest? ,12 123m,[8 848m],4 425m,Are trees a natural resource? Yes or No.,No,[Yes],X,In what year was the first bicycle made?,1900,[1817],1945,754 + 213 =,909,889,[967],"What word defines: ""A person who constructs buildings""?",Accountant,[Builder],Doctor
177,How long can coronavirus survive for on some surfaces?,1 Week,[3 Days],1 Month,Into which sea does the river Nile flow? ,Baltic,[Mediterranean],North,Natural resources are found all round us. True or False?,[TRUE],X,X,When was the first railway line in Ireland opened?,1870,[1834],1901,99 + 87 =,198,158,[186],"What word defines: ""A person licensed to practice medicine""?",Porter,[Doctor],Secretary
178,For what county does Jack McCaffrey play football?,Kerry,[Dublin],Mayo,What is the Great Barrier Reef off the coast of Australia made of? ,Seaweed,[Coral],Shells,Making new things out of old things is how people _________.,Discard,[Recycle],Collect,Air Force One is a plane used by the holder of what position?,British Prime Minster,[President of the United States],President of Ireland,A bus left Dundalk at 10.10am and arrived in Dublin at 11.45am  how long was its journey?,2hrs 5mins,1 hr 10mins,[1hr 35mins],"What word defines: ""The amount of space between two things""?",Force,[Distance],Speed
179,Parrots  pigeons and cuckoos are all types of what?,[Birds],Fish,Insects,Where would you most likely meet a Maori? ,Japan,[New Zealand],India,How does reusing things help the Earth?,We buy more things,[We don’t use up resources],We Spend More,What famous structure was built on Salisbury Plane in the third millennium BC?,Buckingham Palace,[Stonehenge],Big Ben,A boat left Rosslare at 2.40pm and arrived in Pembroke Dock at 6.05pm  how long was its journey?,2hrs 55mins,4 hr 10mins,[3hr 25mins],"What word defines: ""A place where you buy things""?",Stall,[Shop],Club
180,How many days are there in May?,[31],30,29,The day on which the sun is nearest to the equator is called what?,Midnight,[The Equinox],Midday,Which natural resource helps with the supply of food?,Coal,[Soil],Zinc,Who was the “Lady with the Lamp” during the Crimean War?,Dorothea Dix,[Florence Nightingale],Clarissa Barton,A flight left Dublin Airport at 7.25pm and arrived in Birmingham Airport  at 8.55pm  how long was its journey?,1hrs 55mins,55 mins,[1hr 30mins],"What word defines: ""A round  red  green or yellow edible fruit of a small tree""?",Pineapple,[Apple],Carrot
181,Berlin is the capital of which country?,[Germany],Poland ,France,On which Caribbean island is the resort Montego Bay? ,Cayman,[Jamaica],Antigua,Water and soil are both _________.,Human resources,[Natural Resources] ,Capital Resources,In what year was the first train invented?,1750,[1804],1895,A train left Cork at 8.20am and arrived in Dublin at 10.45am  how long was its journey?,2hrs 35mins,1 hr 45mins,[2hr 25mins],"What word defines: ""A person who forges objects out of iron""?",Plumber,[Blacksmith],Engineer
182,What is Beyonce famous for?,[Singing],Running ,Tennis,Which American state is nearest to Russia? ,California,[Alaska],Texas,When harmful things like oil and pesticides get into the water  it is called water __________.,Waste,[Pollution],Dirt,What was the title of the people who fought in the Roman Colosseum?,Mercenaries,[Gladiators],Infantry,A bus left Sligo at 11.35am and arrived in Galway at 2.45pm  how long was its journey?,3hrs 55mins,1 hr 50mins,[3hr 10mins],"What word defines: ""A person who builds or repairs wooden structures""?",Electrician,[Carpenter],Painter
183,How many months of the year end with the letter H?,[One],Four,Two,The Adriatic and the Aegean seas are part of which sea? ,The North Sea,[The Mediterranean Sea],The Atlantic Ocean,What natural resource comes from a tree?,Clothes,[Wood],Oil,How many Irishmen died in World War I?,"15,000",[35 000],"45,000",How many glasses of 100ml can be poured from a 1 litre carton of milk?,6,5,[10],"What word defines: ""A person who plays a musical instrument""?",Actor,[Musician],Professor
184,Who captained the Dublin football team in 2019,[Stephen Cluxton],Bernard Brogan,Dean Rock,What is the name for the imaginary line around the middle of the Earth? ,The Equinox,[The Equator],The Ozone,What are the two main metals in the earth’s core?,Zinc / Lead,[Iron and Nickel],Silver / Nickel,On what date did World War I end?,7th June 1917,[11th Nov 1918],21st Jan 1919,It takes Ann 8 minutes to walk 1km how long will it take her to walk 5km?,28 mins,25 mins,[40 mins],"What word defines: ""A person who steals"" ?",Officer,[Thief],Rapper
185,What manager led Dublin to five consecutive All Ireland football titles,[Jim Gavin],Paul Caffrey,Pat Gilroy,"Which island is at the ""toe"" of Italy? ",Crete,[Sicily],Canary,What do you call molten rock before it has erupted?,Coarse,[Lava],Granite,In what county was Michael Davitt born?,Dublin,Kildare,[Mayo],It takes James 14 minutes to walk 2km how long will it take her to walk 10km?,38 mins,55 mins,[70 mins],"What word defines: ""A building for treating patients that are sick""?",Court,[Hospital],Hotel
186,What sport does Katie Taylor compete in? ,[Boxing],Swimming,Camogie,What do you call supplying water for growing crops? ,Plantation,[Irrigation],Solar Energy,The Great Barrier Reef is found off the coast of which country?,Brazil,[Australia],Spain,In what year did World War II end?,1946,1942,[1945],Round the following number to the nearest 100.  Number 145,300,200,[100],"What word defines: ""A tract of land completely surrounded by water""",[Island],Beech ,Peninsula
187,What sport does Leona Maguire play?,[Golf],Rugby,Soccer,What does the ozone layer do for the Earth? ,Stops Rain,[Protects it from the sun’s rays],Makes Clouds,What do you call a person who studies rocks?,A chemist,[A geologist],An archaeologist,In what city is the United Nations headquarters?,London,[New York],Berlin,Round the following number to the nearest 100.  Number 198,400,300,[200],"What word defines: ""An expanse of water completely surrounded by land""",[Lake],Ocean,River
188,What sport does Rachel Blackmore compete in?,[Horse Racing],Swimming,Rugby,What is the longest river in France?,Po,[Loire],Rhine,What is the second most common gas found in the air we breathe?,Radon,[Oxygen],Chlorine,In what city did Anne Frank live?,Dublin,[Amsterdam],Paris,Round the following number to the nearest 100.  Number 323,200,400,[300],"What word defines: ""A repetition of sound produced by the reflection of sound waves""",[Echo],Hollow,Murmur
189,What Irish sailor won a silver medal in the 2016 Summer Olympics?,[Annalise Murphy] ,Sonia O Sullivan,Katie Taylor,What is the hardest known natural material in the world? ,Gold,[Diamond],Silver,Are humans omnivore  herbivore or carnivore?,[Omnivore],X,X,How many years did Nelson Mandela serve as President of South Africa?,10,8,[5],Round the following number to the nearest 100.  Number 645,500,700,[600],"What word defines: ""An expression of discontent""",[Complaint],Laughing,Clapping
190,Sydney is the largest city of which country?,[Australia],America,Canada,What is the most northern tip of Ireland? ,Hook Head,[Malin Head],Mizen Head,What is the natural home or environment of an animal  plant & organism called?,[Habitat],Ecosystem,X,In which country did Joan of Arc lead an army? ,Spain,[France],Germany,Round the following number to the nearest 100.  Number 885,700,800,[900],"What word defines: ""A feeling of grudging or somewhat admiring discontent""",[Envy],Joy,Sad
191,Who was the Minister for Health during the coronavirus outbreak?,[Simon Harris],Simon Coveney,Leo Varadkar,Which European country is known as Deutschland by its own citizens? ,Holland,[Germany] ,Italy,Dairy products are generally made from what common liquid?,[Milk],Water,Barley,What is the Maori war dance called?,The Cibi,[The Haka],The Indlamu,A lollipop cost 20 cents how much would 3 lollipops cost ?,90 cents,40 cents,[60 cents],"What word defines: ""A person educated and trained in the care of the sick or infirm""",[Nurse],Dentist,Teacher
192,In which country is Mount Everest located?,[Nepal],New Zealand,Turkey,What  makes up a galaxy?,Moons,[Stars],Clouds,What food is used as the base of guacamole?,[Avocado],Tomatoes,Lemons,In which US state was gold discovered in 1849?,Alaska,[California],Florida,An apple cost 15 cents how much would 3 apples cost ?,55 cents,40 cents,[45 cents],Find the adjective in:  The lady is wearing an attractive hat.,[Attractive],X,X
193,Who is Prince Harry married to?,[Megan],Sarah,Kate,Which country has the largest population in the world? ,India,[China],America,Solar power generates electricity from what source?,[The Sun],Wind,Water,To which country did Britain start sending convicts in the late 18th century?,Japan,[Australia],America,47 multiplied by 5 =,325,215,[235],Find the adjective in:  My Aunt bought an elegant dress.,[Elegant],X,X
194,What food do Giant Pandas eat?,[Bamboo],Apples,Peanuts,From which country did the Vikings come? ,Russia,[Scandinavia],France,In what state in America did SpaceX first man mission launch from?,[Florida],Texas,New York,Name the large stone statue that guards the pyramids at Giza?,The Jaguar,[The Sphinx],Egyptian Mummies,56 multiplied by 5 =,287,291,[280],Find the adjective in:  Jim was thankful for his birthday presents.,[Thankful],X,X
195,What type of animal is a butterfly?,[An insect],A bird,A worm,Tuskar Rock lies off which Irish east coast county? ,Wicklow,[Wexford],Cork,Gold is not a good conductor of electricity. True or false? ,[FALSE],X,X,What were the pyramids of Egypt built for?,Water storage,[Tombs for the Pharaohs],Animals shelter,99 multiplied by 3 =,399,198,[297],Find the adjective in:   Paul was very proud of his exam results.,[Proud],X,X
196,A doe is what kind of animal?,[Female Deer],Female Horse,Female Goat,What is a tsunami? ,A Hurricane,[A Giant Tidal Wave] ,A Tornado,Stratus  cirrus  cumulus and nimbus are types of what?,Sand Dunes,Rivers,[Clouds],In what year did the battle of Clontarf take place?,1560,[1014],1916,66 multiplied by 2 =,198,159,[132],Find the adjective in:  The dog was very obedient.,[Obedient],X,X
197,In what sport does Michael Conlan compete?,[Boxing],Golf,Motor Racing,How is a tsunami caused? ,Volcano,[An Under Sea Earthquake],A Hurricane,Trying to predict the weather is known as weather _______?,Programming,Reporting,[Forecasting],Who was the only British monarch to be crowned on the field of battle?,George IV,[Henry VII],Victoria,85 multiplied by 5 =,440,250,[425],Find the adjective in:   The waiter was obnoxious to the customer.,[Obnoxious],X,X
198,What are baby goats called?,[Kids],Cubs,Kittens,What is the longest river in America? ,Snake,[Mississippi],Delaware ,At what temperature is Centigrade equal to Fahrenheit?,- 20 degrees,- 60 degrees,[-40 degrees],"Who sailed on a voyage of discovery aboard a ship called the ""Santa Maria""?",James Cook,[Christopher Columbus],Francis Drake,36 multiplied by 2 =,92,38,[72],Find the adjective in:   Jim was very nervous before his speech.,[Nervous],X,X
199,Rabbits are born blind. True or false?,[TRUE],X,X,What is the longest river in Canada? ,Peace,[Yukon],Churchill,What is the name given to a scientist who studies weather?,Archaeologist,Geologist,[A meteorologist],In what year did the battle of the Boyne take place?,1550,[1690],1760,14 multiplied by 3 =,54,24,[42],Find the adjective in:   Mary had a very itchy hand.,[Itchy],X,X
200,How many legs does a spider have?,7,6,[8],Mount Fuji is the largest mountain in which country?,Thailand,China,[Japan],What is a thermometer used to measure?,Rainfall,Wind Speed,[Temperature],In what year did the battle of Vinegar Hill take place?,1805,[1798],1870,11 multiplied by 9 =,109,89,[99],Find the adjective in:   The dog was very aggressive to the stranger. ,[Aggressive],X,X
201,An Oscars is awarded for excellence in?,Dancing,Painting,[Films],In which continent are China and Japan situated?,Africa,Europe,[Asia],A person who studies Chemistry is known as?,A geologist,A botanist,[A chemist],In what town in Ireland did the battle of Vinegar Hill take place?,Arklow,[Enniscorthy],New Ross,12 multiplied by 9 =,[108],98,88,Find the adjective in:   Wayne was furious with the referees decision.,[Furious],X,X
202,According to the proverb  which city was not built in a day?,New York,London,[Rome],Which parts of the earth have the longest Summer days? ,Africa,Equator,[The North and South poles],What do metals do when they cool?,Multiple,Expand,[Contract],Ireland was known as the land of Saints and Scholars. True or False?,[TRUE],FALSE,X,16 multiplied by 6 =,[96],66,116,Find the adjective in:   My Uncle lives in a beautiful house. ,[Beautiful],X,X
203,Which organs in the body allow you to take air in and breathe it out again?, Kidneys,Liver,[Lungs],In which American city is the Golden Gate Bridge located?,Las Vegas,New York,[San Francisco],Electric power is typically measured in what units?,Mph,Ohms,[Watts],"Who delivered the ""I Have a Dream"" speech on the 28th of August 1963?",Bill Clinton,John F Kennedy,[Martin Luther King],25 multiplied by 5 =,[125],145,195,Find the adjective in:   Sandra wore a long dress.,[Long],X,X
204,What colour are traditional Irish post boxes?,White,Red,[Green],What is the capital of Thailand?,Shanghai,Hong Kong,[Bangkok],Do conductors have a high or low resistance?,[Low],X,X,Around what period was the Book of Kells written?,300 AD,400 AD,[800 AD],51 multiplied by 5 =,[255],265,215,Find the adjective in:   Janes hair is very pretty.,[Pretty],X,X
205,What fabric do you obtain from sheep?,Silk,Cotton,[Wool],Pyongyang is the capital of which country?,Japan,China,[North Korea],Earth is located in which galaxy?,[The Milky Way],Andromeda,Segue 1,How did monks get into their Round Towers?,Lift,Stairs,[Rope Ladder],7 multiplied by 12 =,[84],74,104,Find the adjective in:   The concert was crowded with people.,[Crowded],X,X
206,Which sort of animals can create a 'dawn chorus'?,Insects,Wolves,[Birds],What is the capital city of Canada?,Calgary,Toronto,[Ottawa],Do hazel trees produce fruits or nuts?,[Nuts],X,X,What is a Viking ship called?,Nef,Barque,[Longship],9 multiplied by 6 =,[54],24,74,"What word defines: ""A large hooked  claw""?",[Talon],Club,Paw
207,New Year's Day is in which month?,November,December,[January],What is the capital of Mexico?,Puebla,Tijuana,[Mexico City],What colour is at the top of a rainbow? ,Green,Blue ,[Red],Name the country Eva Peron was famous in?,Italy,Spain,[Argentina],15 multiplied by 6 =,[90],80,110,"What word defines: ""The hindmost part of the animal""?",[Tail],Foot,Hoof
208,Complete the proverb: Don't put all your eggs in one...',Dish,Nest,[Basket],Madagascar is surrounded by which ocean?,Pacific,Atlantic ,[Indian],How many colours are in a rainbow?,10,8,[7],Who was the first woman in Space?,Judith Resnik,Sally Ride,[Valentina Tereshkova],23 multiplied by 5 =,[115],95,85,"What word defines: ""The foot of an animal with claws""?",[Paw],Hoof,Pads
209,What type of food is eaten on Shrove Tuesday?,Fish,Turkey,[Pancakes],What is the capital of Austria?,Berlin,Venice,[Vienna],What is the distance around a circle called?,Horizontal,Diagonal,[Circumference],What was the first living creature to travel into space?,A Monkey,A Cat,[A Dog],28 multiplied by 5 =,[140],114,136,"What word defines: ""The female of the domestic fowl""?",[Hen],Chick,Mare
210,What type of sea vessel can go under water and has a periscope?,A boat,A jet ski,[A submarine],What is the name of the longest river in Australia? ,Cooper,Darling,[Murray],What is the largest planet in the solar system?,Mars,Earth,[Jupiter],What political movement was led by Charles Stuart Parnell?,Court Rule,Parliament Rule,[Home Rule],Jane was 1h 24 mins late for a 3.20pm appointment.  What time did she arrive at?,[4.44pm],4.14pm,5.04pm,Aerophobia is fear of what?,[Flying],Driving,Swimming
211,Seoul is the capital of which country?,Japan,China,[South Korea],What is the name of the great park in New York City?,Phoenix Park,Hyde Park,[Central Park],What part of an atom has a positive electrical charge?,Neutron,Electron,[Proton],Which European city was divided by a wall?,Munich,Paris,[Berlin],The football match Alva was playing in started at 6.30pm.  It ended 1hr 25mins later  what time did it end? ,[7.55pm],7.35pm,8.05pm,Arachnophobia is fear of what?,[Spiders],Snakes,Climbing
212,Which country are the Giza Pyramids in?,Sudan,Nigeria,[Egypt],What is the name of the longest river in India? ,Krishna,Ganges,[Indus],What is the heaviest gas? ,Hydrogen,Oxygen,[Radon],When did Dublin celebrate the Millennium of its birth?,1999,2000,[1988],Billy was 25 mins early for a 10.15am dentist appointment. What time did he arrive at?,[9.50am],9.25am,10.05am,"What word defines:  ""Fear of confined or crowded spaces""",[Claustrophobia],Hemophobia,Aerophobia
213,What language do the people of Japan speak?,English,Mandarin,[Japanese],On which island is the Statue of Liberty located?,Hart,Ellis,[Liberty],What has the scientific formula H2O?,Nickel,Iron,[Water],In 1969  Apollo missions left earth  on what body in space did they land?,Pluto,Mars,[Moon],How many litres in 2560 ml,[2.56 Litres],2.65 Litres,3.15 Litres,"What word defines:  ""A particular way between places""",[Route],Journey,Distance
214,Who wrote Romeo and Juliet?,Lord Byron,[William Shakespeare],George Bernard Shaw,Which ocean lies between Africa and Australia and south of Asia?,Arctic,Pacific,[Indian],Which nutrient plays an essential role in muscle-building?,Water,Fats,[Protein],In which country is Tiananmen Square?,New York,Russia,[China],How many millilitres in 1 litre of milk?,[1 000ml],850ml,1100ml,"What word defines:  ""Being the only one of a particular kind""",[Unique],Common,Similar
215,Which African nation is famous for chocolate?,Ethiopia,[Ghana],Sudan,Europe and Africa are separated by which sea?,North,Baltic,[Mediterranean],Which system of the body controls the senses?,Respiratory system,Digestive system,[Nervous system],In what year did the Irish Civil war break out?,1919,1916,[1922],The gymnastic practice that Mary attends started at 7.15pm. It ended 1hrs 25mins later. At what time did it end?,[8.40pm],8.20pm,8.55pm,"What word defines:  ""To get the better of in a struggle or conflict""",[Overcome],Falter,Accept
216,In what sport does Lewis Hamilton compete?,Tennis,[Motor Racing],Golf,What is the name of the longest river in South Africa? ,Caledon,Vaal,[Orange],Which part of a plant produces most of its food?,Stem,Roots,[Leaves],Where did Michael Collins fight during the Easter rising?,Boland's Bakery,Four Courts,[GPO],How many sides on a rectangle?,3,[4],5,"What word defines:  ""The finding or answer of a jury given to the court""",[Verdict],Response,Report
217,What is the highest numbered segment on a dartboard?,19,[20],17,Which Italian city is famous for its canals?,Milan,Rome,[Venice],The amount of moisture in air is known as its?,Pressure,Temperature,[Humidity],Who invaded Ireland in 1649 to crush the Catholic Confederation?,King Henry II,Edward Bruce,[Oliver Cromwell],How many sides on a square?,6,[4],2,"Spell correctly the word ""Glimpse""",[Glimpse],X,X
