No,GK,GK1,GK2,GK3,GEO,GEO1,GEO2,GEO3,SCI,SCI1,SCI2,SCI3,HIS,HIS1,HIS2,HIS3,MAT,MAT1,MAT2,MAT3,ENG,ENG,ENG2,ENG3
130,"Who is the CEO of Vitabiotics and one of the investors on ""Dragons' Den""?",Peter Jones,[Tej Lalvani],Jeff Bezos,In which country is the Algarve? ,[Portugal],Spain,Morocco,What are animals that eat both plants and animals called?,Carnivores,Herbivores,[Omnivores],The Gaelic League spread throughout Ireland in what year?,1902,[1903],1905,"If the length of a circle's diameter is 14.6 cm, what is it's radius?",[7.3cm],X,X,"Each', 'everybody', everyone' and 'everything' are what type of pronouns?",[Distributive pronouns],Personal Pronouns,Relative Pronouns
131,Name the team that won the UEFA Champions League final in 2017/2018 season.,Liverpool,[Real Madrid],Paris Saint Germain,"Name the largest of the four provinces in Ireland, in terms of size?",[Munster],Leinster,Ulster,What is the process of passing traits from parent to children through genes called?,Genetics,Inheritance,[Heredity],Home Rule was a movement to gain what for Ireland?,An Irish judiciary,[An Irish Parliament],An Irish republic,What fraction can Pi be represented as?,21-Jul,[22/7],20-Jul,Actions and states are expressed by what type of words?,[Verbs],Adverbs,Adjectives
132,Who scored an overhead-kick goal in the UEFA Champions League final in 2018?,Cristiano Ronaldo,[Gareth Bale],Marco Asensio,Off which county’s coast lie the Blasket Islands?,[Kerry],Cork,Clare,What is the name of the major organs of excretion in animals?,Pancreas,Liver,[Kidneys],Who founded the Irish Parliamentary Party?,Charles Stewart Parnell ,[Isaac Butt],Hugh Law,How many corners does a cuboid have?,12,[8],4,What part of speech are the words 'because' and 'although'?,[Conjunctions],Prepositions,Interjections
133,For which country did Dan Carter play rugby?,Australia,[New Zealand],France,Off which county’s coast lie the Saltee Islands?,[Wexford],Donegal,Galway,"Dogs, Whales and Humans are classed as what types of animals?",Herbivores,Carnivores,[Mammals],How many Home Rule bills were introduced before they were passed?,5,[4],2,How many edges does a cube have?,16,[12],24,'To be' and 'to have' are known as what types of verbs?,[Auxiliary verbs],Modal verbs,Action verbs
134,For which country did Shane Williams play rugby?,Ireland,[Wales],Scotland,Off which county’s coast lie the Aran Islands? ,[Galway],Mayo,Cork,What is the process whereby an animal evolves from egg to adult in four distinct stages called?,Peristalsis,Development,[Metamorphosis],Where did John Redmond give his famous speech urging Irishmen to join the British Army?,O'Connell Bridge,[Woodenbridge],Liberty Hall, 12 x 12  + 36,166,[180],186,What words are used to give us more  information about nouns?,[Adjectives],Pronouns,Prepositions
135,For which country did Paul O'Connell play rugby?,England,[Ireland],Wales,What is the capital of New Zealand? ,[Wellington],Auckland,Christchurch,"What is the study of bacteria, fungi and viruses know as?",Bacteriology,Micro bacteriology,[Microbiology],The Land League was formed in which year?,1880,[1879],1878,How many laws of indices are there?,7,[9],8,What words are used to tell us more about verbs?,[Adverbs],Adjectives,Interjections
136,For which country did Jonny Wilkinson play rugby?,New Zealand,[England],Wales,On what river is London situated?  ,[The Thames],The Hudson,The Danube,What is Myopia more commonly known as?,Sneezing,Pins & Needles,[Short Sightedness],Eoin McNeill founded what organisation?,Ulster Volunteers ,[Irish Volunteers],The Irish Republican Brotherhood,"In maths, another name for indices is?",Roots,[Powers],Factorials,Is the word 'radar' a palindrome?,[Yes],No,X
137,For which country did Gregor Townsend play rugby?,Wales,[Scotland],Ireland,In what English county is Land’s End? ,[Cornwall],Norfolk,Kent,What is a nerve cell called?,Motor neuron,Node,[Neuron],Where was Éamon De Valera born?,Ireland,[America],England,What is the name of the set of numbers that represents only whole positive and negative numbers?,Rational Numbers,[Integers],Real Numbers,Words which are used to join sentences are known as what?,[Conjunctions],Interjections,Prepositions
138,For which country did Brian O'Driscoll play rugby?,Wales,[Ireland],England,What is the highest mountain in the Alps?,[Mount Blanc],Dolomites,Grossglockner,What is the swollen area where a leaf joins the stem of a plant known as?,Bud,Stalk,[Node],The Irish Republican Brotherhood (IRB) was founded in what year?,1860,[1858],1910,Is 5 a natural number?,No,[Yes ],X,"""But"" and ""and"" are known as what type of words?",[Conjunctions],Prepositions,Interjections
139,For which country did Martin Johnson play rugby?,Ireland,[England],Wales,Name the Benelux countries?,"[Belgium, Netherlands and Luxembourg]",X,X,What is the part of the alimentary canal between the mouth and the stomach called?,Throat,Trachea,[Oesophagus],The Catholic Emancipation Act was passed in which year?,1830,[1829],1832,"If a number can be written as a/b, where a and b are whole numbers, what type of number is it?",Irrational Number,[Rational Number],Real Numbers," 'Below','above' and 'after' are examples of prepositions. True or false?",[TRUE],FALSE,X
140,For which country did Richie McCaw play rugby?,Wales,Ireland,[New Zealand],What is the tallest mountain in Ireland?,Lugnaquilla,Brandon Mountain,[Carrauntoohil],What are carbon compounds derived from living things called?,Eco Compounds,Natural Compounds,[Organic Compounds],How many British soldiers were involved in the Battle of Vinegar Hill in 1798?,"10,500","[13,000]","12,000",The set of integers are represented by what letter?,I,[Z],Q,What punctuation is used to mark the end of a sentence?,[Full Stop],Comma,Semicolon
141,For which country did Ronan O'Gara play rugby?,Wales,Scotland,[Ireland],What is Ireland’s largest inland county? ,Limerick,Tyrone,[Tipperary],By what name is the process of releasing an egg from the ovary known?,Ejaculation,Menstrual Cycle,[Ovulation],Who led the 1798 rebellion of United Irishmen?,Henry Joy McCraken,[Wolfe Tone],Lord Edward Fitzgerald,Is √2 an irrational number?,No,[Yes ],X,A sentence always begins with a capital letter. True or False?,[TRUE],FALSE,X
142,For which country did Neil Jenkins play rugby?,Scotland,England,[Wales],In what Irish county are the Maumturk Mountains?,Wicklow,Cork,[Galway],By what name is the study of fossils more commonly known?,Fossilology,Archaeology,[Palaeontology],In 1607 which British monarch oversaw the plantation of Ulster?,Queen Mary I,[King James I],Queen Elizabeth I,What is the LCM (Lowest Common Multiple) of 6 and 8?,12,[24],48,Days of the weeks and months of the year always begin with a capital letter. True or False?,[TRUE],FALSE,X
143,Which sport does Ronnie O'Sullivan play?,Rugby,Soccer,[Snooker],"Roundwood, Ireland’s highest village, is in which county?",Kerry,Dublin,[Wicklow],What is an organism which lives in or on another organism called?,Bacteria,Fungus,[Parasite],The Battle of Jutland in the first World War was between which two naval fleets?,French & German,[British & German],USA & German,Natural numbers that aren't prime and that are greater than 1 are called what?,Rational Numbers,[Composite numbers],Natural Numbers,What punctuation mark is used for all direct questions?,[Question Mark (?)],Exclamation Mark (!),"Quotation marks ("""")"
144,"Which sport did Phil ""The Power"" Taylor play?",Snooker,Tennis,[Darts],In what county is Lough Conn?,Galway,Longford,[Mayo],The patella is commonly known as what part of the leg?,Hip,Ankle,[Knee Cap],In what year did the Boer War in South African War break out?,1898,[1899],1902,1 is a prime number. True or False?,TRUE,[FALSE],X,What punctuation mark is used to link two independent clauses that are closely related in thought?,[Semicolon],Colon,Comma
145,Which sport does Tommy Fleetwood play?,Cricket,Soccer,[Golf],The Blackstairs Mountains straddle which two counties? ,Carlow and Kilkenny,Wexford and Wicklow,[Carlow and Wexford],By what name is a plant which survives for more than two years known?,Perpetual,Long Life,[Perennial],In what year during the World War II did the Allies enter Germany?,1945,[1944],1943,Is there an even prime number?,No,"[Yes, the number 2 ]",X,What punctuation mark is used to make a sentence more clear?,[Comma],Semicolon,Full Stop 
146,Who beat Anthony Joshua in his first pro defeat in 2019?,Deontay Wilder,Tyson Fury,[Andy Ruiz Jr.],In what county is the Ards Peninsula?,Antrim,Derry,[Down],The Acidity or Alkalinity of an entity are measured on what scale?,[PH Scale],X,X,Who was the fascist dictator of Italy between 1922-1943?,Giolitti ,[Mussolini],Luzzatti,What is the HCF (Highest Common Factor) of 60 and 84?,6,[12],4,"Which Irish novelist wrote ""The Snapper"" and ""The Commitments""?",[Roddy Doyle],Colm Tóibín,Sebastian Barry
147,In which sport does Chris Froome compete?,Triathlon,Swimming,[Cycling],In what county are the Cliffs of Moher? ,Kerry,Cork, [Clare],On the PH Scale what does PH stand for?,Power of Helium,[Power of Hydrogen],Plus Hydrogen,What year did Italy and Germany sign the Pact of Steel?,1938,[1939],1936,Are the processes of addition and multiplication commutative operations?,No,[Yes ],X,What punctuation mark is used with a noun to indicate possession?,[Apostrophe],X,X
148,In which sport does Mo Farah compete?,Skiing,Swimming,[Athletics],In what county is the Cooley Peninsula? ,Meath,Sligo,[Louth],Chlorophyll and light are necessary for which process that occurs in plants?,Growth and development,[Photosynthesis],Seeding and fruit dispersal,Which European country was engaged in civil war between 1936-1939?,Portugal,[Spain],Argentina,Is subtraction an associative operation?,Yes,[No],X,How many punctuation marks are there in English grammar?,[14],10,8
149,In which sport does Lewis Hamilton compete?,Athletics,Cycling,[Formula One],In what county is the Bog of Allen? ,Mayo,Wicklow,[Kildare],What powder is produced by the anthers of seed bearing plants?,Ragweed,[Pollen],Antigen,In 1921 who became chairman of the Nazi party?,Himmler,[Hitler],Von Alvensleben ,What letter represents the set of rational numbers?,R,[Q],X,"What punctuation mark is used to introduce a quotation, a list or express a strong contrast?",[Colon],Semicolon,Dash
150,In which sport does Anthony Joshua compete?,Rowing,Cycling,[Boxing],In what county are the Blue Stack Mountains? ,Cavan,Mayo,[Donegal],By what name are microscopic plants floating in water known?,Seaweed,[Plankton],Alga,"Where was leader of the Soviet Union, Joseph Stalin, born in 1878?",Russia,[Georgia],Czechoslovakia,What is 4(2)  -  2(3)  -  ( + 4) ?,14,[-2],6,What punctuation mark shows a longer pause than a comma but not as long as a full stop?,[Semicolon],Ellipsis,Colon
151,In which sport does Conor McGregor compete?,Karate,Boxing,[MMA (UFC)],In what county is the Vale of Avoca? ,Limerick,Wexford, [Wicklow],What is an animal which kills and eats other animals called ?,Top-tier animal,[Predator],Mammal,In which decade was the Vatican City declared an independent state from Italy?,1910s,[1920s],1890s,5(2)  +  2(-7)  +  8  =,[4],13,-7,Estragon and Vladimir are two of the main characters in which Samuel Beckett play?,[Waiting for Godot],Happy Days,Breath
152,Name the 44th President of United States of America?,Hillary Clinton,Donald J. Trump,[Barack Obama],Off what county is Tory Island? ,Mayo,Derry,[Donegal],What are plants which make their own food by photosynthesis called?,Creators,[Producers],Providers,"In 1924, what leader of the Soviet Union died?",Khrushchev,[Lenin],Malenkov,(16  x 9)  -11  =,[133],101,42,Waiting for Godot is a play that deals with the ambiguity of existence. True or false?,[TRUE],FALSE,X
153,Name the 45th President of United States of America?,George W Bush,Barack Obama,[Donald J. Trump],What is the second smallest county in Ireland?,Dublin,Armagh,[Carlow],By what name is an organism in which a parasite lives and reproduces known?,Secondary Host,[Primary Host],Life Host,"When Germany invaded the USSR in 1942, what  defensive policy did Stalin implement?",Burnt Land ,[Scorched Earth],Damaged Structure,(2 x -8)  -  ( + 15)  =,[-31],1,-1,"In the play ""Waiting for Godot"" does Godot ever turn up?",[No],Yes,X
154,Name the 43rd President of United States of America?,Richard Nixon,Bill Clinton,[George W Bush],In what county is the highest waterfall in Ireland located?  ,Limerick,Cork,[Wicklow],What is the gland which surrounds the urethra at the neck of the bladder called?,Gastric Gland,[Prostate Gland],Tubular Gland,In 1932 who became leader of the Irish Free State?,Arthur Griffith ,[Éamon De Valera],W.T Cosgrave,2(3 x -5)  +  4  =,[-26],34,-22,Piggy is the main character in which William Golding Novel?,The Spire,The Inheritors,[Lord of the Flies]
155,Name the 42nd President of United States of America?,George W Bush,George H W Bush,[Bill Clinton],In what county is the limestone region the Burren?,Kerry,Cork,[Clare],What is the nutrient that is made of amino acids called?,Fat,[Protein],Carbohydrates,In which year did Éamon De Valera die?,1976,[1975],1978,Is a  x  b  x  c  = b  x  c  x  a ?,[Yes],No,X,In what poem does Wordsworth compare nature to his life as a boy and then as a man?,I Wandered Lonely as a Cloud,My Heart Leaps Up,[Tintern Abbey]
156,In 2018 who was the Prime Minister of  the United Kingdom?,Donald J. Trump,Jeremy Corbyn,[Teresa May],Rathlin Island lies off the coast of what Ulster County? ,Donegal,Derry,[Antrim],What is the hole in the iris through which light passes into the eye called?,Aorta,[Pupil],Carnivores,In 1933 who was elected chancellor of Germany declaring the Third Reich?,Paul von Hindenburg,[Adolf Hitler],Ludwig Erhard,Is (a  +  b)  +  c  = a  +  (b  +  c) ?,[Yes],No,X,Nationalism and heroism are themes from which Sean O' Casey play?,The Shadow of a Gunman,Juno and the Paycock,[The Plough and the Stars]
157,Who was the Taoiseach of the Republic of Ireland in 2018?,Barry Cowen,Micheál Martin,[Leo Varadkar],What is the second longest river in Ireland? ,The Slaney,The Liffey,[The Barrow],What disease is caused by a lack of vitamin C?,Night Blindness,[Scurvy],Osteoporosis,"In Germany, The Night of the Long Knives occurred in which decade?",1920's,[1930's],1940's,Is (a  -  b)  +  c  = (b  -  a)  +  c ?,[No],Yes,X,"""Death of a Salesman"" is a play by which American playwright?",Edward Albee,August Wilson,[Arthur Miller]
158,Who was the Taoiseach of the Republic of Ireland in 2016?,Brian Cowen,Micheál Martin,[Enda Kenny],The Giant's Causeway is formed from what type of rock? ,Granite,Limestone,[Basalt],What is the Nucleic acid found in the nucleus and cytoplasm of cells called?,DNA,[RNA],RA,What does the German word 'Führer' mean?,Chief,[Leader],Controller,How many millimetres are in 1.53 metres?,"15,300mm",153mm,"[1,530mm]",Willy Loman is the main character in which Arthur Miller play?,After the Fall,All my Sons,[Death of a Salesman]
159,Who was the Taoiseach of the Republic of Ireland in 2010?,Joan Burton,Enda Kenny,[Brian Cowen],Name two counties in Leinster that begin with the letter K?,"[Kilkenny, Kildare]",X,X,RNA stands for?,Real Nucleic Acid,[Ribonucleic Acid],Rare Nucleic Acid,Hitler declared himself Führer of Germany in what year?,1940,[1944],1945,What is 0.22 kilometres equal to in centimetres?,"220,000cm","2,200cm","[22,000cm]","""Pygmalion"" is a play by which Irish playwright?",Brian Friel,Brendan Behan,[George Bernard Shaw]
160,Who was the Taoiseach of the Republic of Ireland in 2007?,[Bertie Ahern],Brian Cowen,Enda Kenny,Name two counties in Munster that begin with the letter C?,"[Clare, Cork]",X,X,What disease is caused by a lack of Vitamin D?,Anemia,[Rickets],Night Blindness,What was the name of the peace agreement concluding World War I?,Treaty of Paris,[Treaty of Versailles],Treaty of London,"If 1 mile is equal to 1.6 kilometres, how far is 5 and a half miles in kilometres?",9.6km,8km,[8.8km],'The Importance of Being Ernest'' is a play by which Irish Playwright?,Sean O' Casey,John B. Keane,[Oscar Wilde]
161,"In 2015, who was the Prime Minister of the United Kingdom?",[David Cameron],Teresa May,Jeremy Corbyn,Name two counties in Ulster that begin with the letter A?,"[Armagh, Antrim]",X,X,What is the part of a plant below the ground called?,Petiole,[Root],Stem,"In peace settlements post World War I, to how many personnel was Germany's army limited?","120,000","[100,000]","150,000",What is 8.7 centimetres in millimetres?,870mm,8.7mm,[87mm],"""The Playboy of the Western World"" was written by which Irish playwright?",Mark O' Rowe,Sebastian Barry,[J.M Synge]
162,In which sport does Katie Taylor compete?,[Boxing],Cycling,Athletics,Producing crops and animals to sell for profit is what type of farming?,Trade Farming,Product Farming,[Commercial Farming],What is the scapula bone more commonly known as?,Collar Bone,[Shoulder Blade],Hip,In 1939 the Nazi-Soviet pact agreed to the partition of which country?,Ukraine,[Poland],Belarus,What is 0.65 kilograms equal to in grams?,6.5g,65g,[650g],Professor Higgins is the main character in which George Bernard Shaw play?,Arms and the Man,Man and Superman,[Pygmalion]
163,In which sport does Serena Williams compete?,[Tennis],Golf,Rowing,Crops grown for profit are known as what types of crops? ,Paying Plants,Coin Crops,[Cash Crops],What is the mark left on tissue after a wound has healed called?,Stiches,[Scar],Fracture,The USA & the USSR officially declared the end to the Cold War in which year?,1990,[1989],1988,5600 grams is equal to what in kilograms?,560kg,5.06kg,[5.6kg],"In ""Pygmalion"", professor Higgins is helping Eliza Doolittle with what aspect of her life?",Her reading,Her hearing,[Her speech]
164,"Which car company won ""24 Hours of Le Mans"" in 1966?",[Ford],Ferrari,Porsche,The growing of only one crop is known as?,Single-planting,Monogrowing,[Monoculture],In what part of the body is the tibia bone found?,Arm,[Leg],Foot,Which Soviet leader introduced Glasnost and Perestroika in 1986?,Chernenko,[Gorbachev],Andropov,"If 1 kilogram is equal to 2.2 pounds, what is 3 kilograms equal to in pounds?",6.8 Pounds,6 Pounds,[6.6 Pounds],Christy Mahon is the main character in which J.M Synge play?,In the Shadow of Glen,Riders of the Sea,[Playboy of the Western World]
165,"""Thing 1"" and ""Thing 2"" are characters in which Dr. Suess book?",[The Cat in the Hat],The Grinch,The Lorax,Land used for the cultivation of crops is known as?,Fruitful land,Pastoral Land,[Arable Land],In what part of the body is the radius bone found?,Leg,[Arm],Back,The Franco Prussian war took place between what years?,1875-1877,[1870-1871],1871-1872,How many pounds are in 1 stone?,12,16,[14],"In which County in Ireland is J.M Synge's ""Playboy of the Western World"" set?",Dublin,Galway,[Mayo]
166,Who painted the Mona Lisa?,[Leonardo da Vinci], Vincent Van Gogh ,Rembrandt,What is land used for the raising of livestock known as? ,Grasslands,Arable Land,[Pastoral Land],What is the outer layer of skin called?,Dermis,[Epidermis],Hypodermis,"In 1945, the Japanese cities of Hiroshima and Nagasaki were bombed by what country? ",Britain,[USA],Germany ,In what units is volume measured?,PSI,Grams,[Cubic meters],"In Thomas Hardy's ""The Mayor of Casterbridge"" , Michael Henchard's past returns to haunt him, what did he do?",Had an affair,Robbed his wife,[Sold his wife]
167,"What is the name of the Lion in The Lion, The Witch and the Wardrobe",[Aslan],Maugrim,Mufasa,"Commercial, intensive production of milk is known as?",Milk Farming,Buttery,[Dairying],"Of what are loam, clay and sandy the three main types?",Beaches,[Soil],Stones,What was the name of the pact in 1955 between the communist countries of Europe?,Moscow Pact,[Warsaw Pact],Berlin Agreement,How many litres are there in a cubic metre?,10 litres,100 litres,[1000 litres],"""Tess of the d'Urbervilles"" is a novel by which author?",James Patterson,John Cleese,[Thomas Hardy]
168,In March 2020 which country was the 1st epicentre of COVID 19 in Europe? ,[Italy],Portugal,Sweden,What is the cyclical planting of different crops in a field called? ,Crop Cycle,Crop Revolving,[Crop Rotation],Tarsals are bones found in which part of the  body?,Fingers,[Foot],Ear,In 1958 Charles De Gaulle was elected president of which European Country?,Italy,[France],Belgium,What is the volume of a cube with a side length of 2cm,16 cubic centimetres,4 cubic centimetres,[8 cubic centimetres ],"""Nineteen Eighty Four"" is a futuristic novel by which author?",J.R.R Tolkein,Jane Austen,[George Orwell]
169,What was the name of Harry Potter’s pet owl?,[Hedwig],Dobby,Hagrid,"What is fermented grass, fed to animals in winter, known as?",Fodder,Bales,[Silage],What is the white fibrous tissue connecting muscle to bones called?,Ligaments,[Tendon],Adipose Tissue,In 1959 who was elected president of Ireland?,Sean T. O'Kelly,[Éamon De Valera],Douglas Hyde,What is the bottom number of a fraction usually called?,Divisor,Numerator,[Denominator],Winston is being watched by big brother in which George Orwell novel?,Burmese Days,Animal Farm,[Nineteen Eighty Four]
170,How many NBA Championships did Michael Jordan win with the Chicago Bulls?,[6],5,4,The artificial watering of land is known as?,Spraying,Hydration,[Irrigation],The hormone testosterone is produced in what part of the body?,Prostate Gland,[Testes],Scrotum,In 1961 the soviets built a wall dividing which German city?,Munich,[Berlin],Frankfurt,What is 32/48 in its simplest form?,08-Dec,04-Jun,[2/3],Dorian Gray is a character created by which Irish playwright?,Oliver Goldsmith,Maeve Binchy ,[Oscar Wilde]
171,Which artist painted a number of pictures of sunflowers?,[Vincent Van Gogh],Andy Warhol,Michelangelo,The money paid to farmers to raise specific crops or animals is known as what?,Growth Funding,Grant,[Subsidy],What is the name of the gland that is located near the base of the neck?,Nymph Gland,[Thyroid Gland],Prostate Gland,In what year was the Versailles Treaty signed?,1920,[1919],1918,What is 54/90 in its simplest form?,Dec-20,06-Oct,[3/5],What is a figure of speech in which two things are compared using 'like' or 'as'?,Contrast,Metaphor,[Simile]
172,Where were the Olympics held in 2004?,[Athens],Beijing,Sydney,What is the seasonal heavy rains in rice-growing areas is know as?,Flooding,Washout,[Monsoon],What is the lymphoid tissue near the base of the tongue called?,Adenoids,[Tonsils],Adams Apple,"In 1919, what country was the Treaty of Versailles signed in?",Italy,[France],Spain,What is 48/60 in its simplest form?,[4/5],X,X,Shakespeare wrote the majority of his poems in which form?,Narrative ,Free verse,[Sonnet]
173,How many wives did Henry VIII have?,8,5,[6],What is growing two or more crops on a farm in a single year known as? ,Fast Track Planting,High Production Planting,[Multiple Cropping],What gas is dry ice made from?,Sulfur Dioxide,[Carbon Dioxide],Nitrogen,In what country was German dictator Adolf Hitler born?,Germany,[Austria],Hungary,What is 64/96 in its simplest form?,[2/3],X,X,"Wordsworth, Coleridge, Byron and Keats are described as what type of poets?",Tragic,Comedic ,[Romantic]
174,In 2019 which channel had the most subscibers on YouTube?,[T-Series],PewDiePie,Dude Perfect,What is the number of babies born per 1000 people per year known as?,Birth Figure,Births per Annum,[Birth Rate],Enamel is the outer layer on which body part?,Nail,[Tooth],Eyes,Of which country was Arch Duke Franz Ferdinand heir to the throne?,Romania,[Austria-Hungary],Slovenia,What is 24/72 in its simplest form?,[1/3],X,X,"""Oliver Twist"" and ""A Christmas Carol"" were written by which Victorian Novelist?",Geoffrey Chaucer,Joseph Conrad,[Charles Dickens]
175,"Which member of ""The Sidemen"" has released songs with Rick Ross & Lil Baby?",[KSI],W2S,Behzinga,What is the number of people dying per 1000 people per year known as?,Death Figure,[Death Rate],Deaths per Annum,What is a poison produced by living organisms called?,Venom,[Toxin],Enzyme,In which city was Franz Ferdinand assassinated?,Bucharest,[Sarajevo],Budapest,The top number of a fraction is known as what?,[Numerator],Denominator,Multiple,A poem that is unrhymed in iambic pentameter is known as what type of poem?,Sestina,Free Verse,[Blank Verse]
176,In March 2020 which country was the 1st epicentre of COVID 19 in America? ,[New York],Atlanta,Los Angeles,The average period that a person can expect to live is known as what?,Life Span,[Life Expectancy],Life Cycle,What is the trachea more commonly known as?,Oesophagus,[Windpipe],Vocal Chords,Which countries were part of the Central Powers in World War I?,[Austria-Hungary],Japan,Russia,What do you call a fraction that has a numerator equal to or greater than the denominator?,[Improper fraction],Irregular fraction,Irrational fraction,A pair of rhyming lines in a poem are known as what?,A duet,A pair,[A Couplet]
177,"In 2019 which sports brand endorsed Lebron James, Ronaldo and Rory McIlroy?",[Nike],Adidas,Puma,"What is the make up of a population, in terms of age and gender, known as?",Society Structure,[Population Structure],Population Statistics,"When you burn lithium, what colour flame does it produce?",Blue,[Red],Green ,Which countries were known as the Triple Entente in World War I?,"[Britain, Russia & France]","Britain, USA & Russia","Britain, USA & France",Solve 1/2  +  2/8,[6/8 or 3/4],X,X,By what name is a poem of moderate length written in the classical form known as?,Haiku,Sonnet,[Ode]
178,Air Force One is a plane used by the holder of what position?,[The President of the USA],The British Prime Minster,The French President,What is a diagram to show population structure known as? ,Population Chart,[Population Pyramid],Population Graph,What is the navel cord which connects the embryo to the placenta called?,Fallopian Cord,[Umbilical Cord],Antenatal Cord,"Tanks, poison, airplanes and depth chargers were introduced as weapons in which war?",[World War I],World War II,Vietnam War,Is 18/72  = 1/4?,[Yes ],No,X,The repetition of a sound at the end of lines in a poem is called what?,Cadence,Beat,[Rhyme]
179,"Which iconic Irish artist started ""Live Aid""?",[Bob Geldof],Bono,Johnny Logan,The way people are spread out over an area is known as? ,Population Dispersal,[Population Distribution],Population Placement,What is an organism consisting of just one cell called?,Single cell,[Unicellular],Primary cellular,In June of which year were the D-Day landings?,[1944],1945,1943,Is 1%  = 10/1000,[Yes],No,X,What is the name for a group of lines in a poem?,Verselet,Verse,[Stanza]
180,Name the second largest planet in the Solar System.,Jupiter,[Saturn],Mars,What are situations which encourage people to move from an area known as? ,Drive Factors,[Push Factors],Strike Factors,If a person is a universal donor what blood group would they have?,Group A,[Group O ],Group B +,Which of these beaches was a landing spot for the Allies during World War II?,[Juno Beach],Pluto Beach,Silver Beach,"In arithmetic, what does PAYE stand for?",[Pay As You Earn],X,X,The feeling of a recurring beat or accent in a poem is called what?,Pattern,Tempo,[Rhythm]
181,Sheriff Woody and Buzz Lightyear are major characters in which series of films?,Frozen,[Toy Story],Peter Pan,What are situations which encourage people to move into an area known as? ,Attraction Factors,[Pull Factors],Movement Factors,If a person is a universal recipient what blood group would they have?,Group O,[Group AB],Group A,What was the official operation name of the D-Day landings?,[Operation Overlord],Operation Sealion,Operation Neptune,What does PRSI stand for?,[Pay Related Social Insurance],X,X,A four line stanza or four line poem is called what?,Acrostic Poem,Ode,[Quatrain]
182,Which television series is set in the town of Pontypandy?,Balamory,[Fireman Sam],Thomas the Tank Engine,What is it called when the birth rate is much higher than the death rate in a population?,Population Overload,[Population Explosion],Baby Boom,What is the fluid formed in the kidney called?,Bile ,[Urine],Insulin,O'Connell founded the repeal association to overturn which Act?,[Act of Union],Statute of Westminster,Government of Ireland Act,"What is the name of the amount that remains, after tax  credits are deducted from your gross tax?",[Tax  payable],Net tax ,Tax  total,Are the words 'zoom' and 'crash' examples of onomatopoeia?,[Yes],No,X
183,"What is the name of the hero in ""The Lion King""?",Mufasa,[Simba],Scar,What is a person forced to move due to persecution or war known as?,Migrant,[Refugee],Asylum Seeker,The foetus develops in which part of the female body?,Fallopian Tube,[Uterus],Placenta,In 1928 O'Connell was elected to Westminster as an MP for which county in Ireland?,[Co. Cork],Co. Dublin,Co. Kerry,"What are deductions that are taken from gross pay, at the request of the employee called?",[Voluntary contributions / Non-statutory deductions],X,X,A three line stanza or three line poem is called what?,[Triplet],Limerick ,Ode
184,Wolverine is the leader of which band of superheroes?,The Avengers,[The X-Men],The Justice League, The loss of people from the countryside is known as? ,Rural Loss,[Rural Depopulation],Rural Desertion,What are blood vessels which carry blood to the heart called?,Capillaries,[Veins],Arteries,In 1818 Charles Stuart Parnell was sent to which jail?,[Kilmainham],Mountjoy,Wicklow ,Are you paid a salary if you are paid based on the amount of hours that you work?,[No],Yes,X,"In poetry, a stanza is a repeated pattern of lines with a rhyme scheme. True or False?",[TRUE],FALSE,X
185,Which resident of Jellystone Park is “smarter than the average bear”?,Smokey Bear,[Yogi Bear],Baloo,The movement of people within a country is known as?,Regional Movement,[Regional Migration],Regional Travel,Retinol is commonly know as which vitamin?,Vitamin C,[Vitamin A],Vitamin D,In what year was Charles Stuart Parnell born?,[1846],1855,1836,"What is the average of 6, 4, 7 and 5?",[5.5],5,4.5,"What is the main theme of Brian Friel's play ""Philadelphia here I come""?",[Emigration],Coming of Age,Love
186,How many ounces are there in a pound?,14,[16],12,"The movement of people at certain times of year, for example, fruit harvesters.",Irregular Migration,[Seasonal Migration],Seasonal Travel,Ascorbic acid is commonly known as which vitamin?,Vitamin A,[Vitamin C],Vitamin D,In what year did St Patrick arrive in Ireland?,400 AD,420 AD,[432 AD],"Find the median of this list of numbers: 9, 11, 14, 16, 18, 22, 27",[16],18,14,Gar O' Donnell is the main character in which Brian Friel play?,[Philadelphia Here I Come],Translations,The Freedom of the City
187,Which planet is known as “The Red Planet”?,Jupiter,[Mars],Mercury,What is the return of immigrants to their own country known as?,Deportation,[Repatriation],Extradition,Cholecalciferol is commonly know as which vitamin?,Vitamin C,[Vitamin D],Vitamin E,In 795 Ireland was invaded by which group of people?,Celts,Saxons,[Vikings],What is the number that appears the most amount of times in a list of numbers called?,[The mode],The range,The re-occurrent,Gradgrind and Bounderby are characters in which Charles Dickens novel? ,[Hard Times],Bleak House,Great Expectations
188,From what tree do acorns come?,The Ash,[The Oak],The Chestnut,What is an area which forms an indentation on the coastline known as? ,An Inlet,[A Bay],A Cove,What is the name of the two chromosomes which determine the sex of an organism?,XX Chromosome,[XY Chromosome],MF Chromosome,Brian Boru defeat the Vikings in what battle?,Battle of Tara,Battle of Edington,[Battle of Clontarf],"Find the mean of this group of numbers: 4, 11 and 27",[14],13,27,"Who wrote ""Ulysses""?",[James Joyce],Oscar Wilde,Jonathan Swift
